dataset,hardness_metric,random_seed,weighting_strategy,Overall_similarity,ks_mean,ks_std,ks_pvalue
NewThyroid2,N1,26226,curriculum,0.812423500611995,0.1875764993880048,0.1773614769573444,0.2750828791376874
BCWDD,CL,26226,curriculum,0.7492428138750785,0.2507571861249213,0.1734258945319862,0.1569415936720885
NewThyroid2,N1,26226,static,0.8385352917176663,0.1614647082823337,0.1746214114358579,0.2982701073469187
BCWDD,CL,26226,static,0.727870164009372,0.272129835990628,0.1877893238476365,0.1207636891750339
NewThyroid2,N1,26226,self_paced,0.8722970216238268,0.1277029783761729,0.0960466259279313,0.2690547726751594
NewThyroid2,N2,670488,curriculum,0.7464300285597716,0.2535699714402285,0.2455779006589468,0.2705214515911213
BCWDD,CL,26226,self_paced,0.711297788445054,0.2887022115549459,0.1792280249755974,0.1102972295068705
NewThyroid2,N2,670488,static,0.7453080375356997,0.2546919624643002,0.2394137049326496,0.2748570758713556
BCWDD,CLD,670488,curriculum,0.7079833133321904,0.2920166866678095,0.2471545161665094,0.1703041179880815
NewThyroid2,N2,670488,self_paced,0.7691758465932272,0.2308241534067727,0.2224521996050729,0.2649814087211277
NewThyroid2,N2,116740,curriculum,0.7894736842105263,0.2105263157894736,0.2048889170399905,0.2231803612976317
BCWDD,CLD,670488,static,0.7040402308703356,0.2959597691296645,0.2099263417825115,0.1270207972145789
NewThyroid2,N2,116740,static,0.7614239086087311,0.2385760913912688,0.215330641387775,0.1899868449971719
BCWDD,CLD,670488,self_paced,0.6779815989485114,0.3220184010514886,0.2435795408815121,0.1087582866465115
NewThyroid2,N2,116740,self_paced,0.7982456140350876,0.2017543859649122,0.1763917750607316,0.209513811331183
NewThyroid2,N2,26226,curriculum,0.8463892288861689,0.1536107711138311,0.1522830395957785,0.3208995363915833
BCWDD,CLD,116740,curriculum,0.7282701868678211,0.271729813132179,0.1715855131713794,0.1330710000983183
NewThyroid2,N2,26226,static,0.8317013463892289,0.1682986536107711,0.1645122575182223,0.2519002458952111
BCWDD,CLD,116740,static,0.7135836333504771,0.2864163666495228,0.1888536612086387,0.1148571783110221
NewThyroid2,N2,26226,self_paced,0.8568951448388413,0.1431048551611587,0.120769187543512,0.2449748372570119
NewThyroid2,LSC,670488,curriculum,0.7449000407996738,0.2550999592003264,0.2338129232800696,0.2332603814190604
BCWDD,CLD,116740,self_paced,0.7188982227555861,0.281101777244414,0.175252186205874,0.1081205617112127
NewThyroid2,LSC,670488,static,0.762953896368829,0.2370461036311709,0.226106494153487,0.2305275214269348
NewThyroid2,LSC,670488,self_paced,0.7974296205630355,0.2025703794369645,0.1682101073893762,0.2813087847351671
BCWDD,CLD,26226,curriculum,0.7308417623864221,0.2691582376135779,0.163131732340851,0.1325997015912135
NewThyroid2,LSC,116740,curriculum,0.7925336597307222,0.2074663402692778,0.2041797948845909,0.2114264989313842
BCWDD,CLD,26226,static,0.7639293673924225,0.2360706326075775,0.1651020219058989,0.1596615824933689
NewThyroid2,LSC,116740,static,0.7790697674418605,0.2209302325581395,0.225769612229044,0.2237454218278204
NewThyroid2,LSC,116740,self_paced,0.7789677682578539,0.221032231742146,0.2009949759514619,0.1972267401314517
BCWDD,CLD,26226,self_paced,0.743356763243614,0.256643236756386,0.1551651617103459,0.1103386880519666
NewThyroid2,LSC,26226,curriculum,0.8405752753977969,0.1594247246022032,0.1543613338104236,0.2573994826507614
BCWDD,MV,670488,curriculum,0.7254128807360419,0.2745871192639579,0.2094666940666303,0.1074861844382544
NewThyroid2,LSC,26226,static,0.8298653610771115,0.1701346389228886,0.1479971957162674,0.1993691579800514
NewThyroid2,LSC,26226,self_paced,0.8192574459404326,0.1807425540595675,0.173811039032709,0.3001232419587362
BCWDD,MV,670488,static,0.7273558489056517,0.2726441510943482,0.1985000491649011,0.1097013068660623
NewThyroid2,LSR,670488,curriculum,0.7594859241126071,0.2405140758873928,0.2161451998658568,0.2278975344440903
BCWDD,MV,670488,self_paced,0.7192982456140351,0.2807017543859649,0.1770733263757876,0.110853250403969
NewThyroid2,LSR,670488,static,0.7502039983680131,0.2497960016319869,0.2441479110067212,0.271316852078478
NewThyroid2,LSR,670488,self_paced,0.7559159526723787,0.2440840473276213,0.2295427673234671,0.2730546823195786
BCWDD,MV,116740,curriculum,0.7476427224412824,0.2523572775587177,0.1693145396150544,0.1523244922257643
NewThyroid2,LSR,116740,curriculum,0.7593839249286005,0.2406160750713994,0.2060655160218033,0.2165648338535595
BCWDD,MV,116740,static,0.7147837019258243,0.2852162980741756,0.1952946145856606,0.1063588507936944
NewThyroid2,LSR,116740,static,0.7862097103223175,0.2137902896776825,0.1957915186734248,0.2245615648509472
NewThyroid2,LSR,116740,self_paced,0.8181354549163605,0.1818645450836393,0.1636037659566894,0.2085271366346625
BCWDD,MV,116740,self_paced,0.786387793588205,0.2136122064117949,0.1566130335020011,0.1421051871148744
NewThyroid2,LSR,26226,curriculum,0.8423092615259078,0.1576907384740922,0.1572933910977903,0.2740502765125574
BCWDD,MV,26226,curriculum,0.7507286130636036,0.2492713869363963,0.168348714055733,0.1184697578849452
NewThyroid2,LSR,26226,static,0.8310893512851897,0.1689106487148103,0.1375247096272427,0.207634794595601
NewThyroid2,LSR,26226,self_paced,0.8227254181966545,0.1772745818033455,0.1691020351332215,0.3002089200431448
BCWDD,MV,26226,static,0.7554717412423567,0.2445282587576432,0.1484219137264182,0.1243560718662323
NewThyroid2,Harmfulness,670488,curriculum,0.77203182374541,0.2279681762545899,0.1937547997827108,0.2612626548849245
BCWDD,MV,26226,self_paced,0.7542145265443739,0.245785473455626,0.163979362526371,0.1383789205646502
NewThyroid2,Harmfulness,670488,static,0.7825377396980824,0.2174622603019175,0.1940151572416214,0.250348201517983
NewThyroid2,Harmfulness,670488,self_paced,0.7575479396164831,0.2424520603835169,0.2346034891976741,0.2649332581017171
BCWDD,CB,670488,curriculum,0.7084976284359106,0.2915023715640894,0.2150181623244349,0.1113193074187576
NewThyroid2,Harmfulness,116740,curriculum,0.7864137086903306,0.2135862913096695,0.2020730236060141,0.2633432717367691
BCWDD,CB,670488,static,0.7372421281216069,0.262757871878393,0.1972168413390022,0.1071220366857793
NewThyroid2,Harmfulness,116740,static,0.7938596491228069,0.206140350877193,0.2214675001872796,0.2607095667462092
NewThyroid2,Harmfulness,116740,self_paced,0.8164014687882496,0.1835985312117503,0.1801407816867228,0.2296143862536361
BCWDD,CB,670488,self_paced,0.7292416709526259,0.2707583290473742,0.1981093461554791,0.1073007620451627
NewThyroid2,Harmfulness,26226,curriculum,0.8137494900040799,0.18625050999592,0.1672514183067483,0.2279162541592634
NewThyroid2,Harmfulness,26226,static,0.847205222358221,0.1527947776417788,0.1029414857874601,0.236666294648541
BCWDD,CB,116740,curriculum,0.7268986799245671,0.2731013200754328,0.1958378862961775,0.1173479739853957
NewThyroid2,Harmfulness,26226,self_paced,0.875764993880049,0.124235006119951,0.0975597534688505,0.2473603195375655
BCWDD,CB,116740,static,0.7136407794731127,0.2863592205268872,0.1920035735310585,0.141246508423054
NewThyroid2,F1,670488,curriculum,0.7572419420644635,0.2427580579355364,0.2436688990160263,0.2383991414972399
NewThyroid2,F1,670488,static,0.7402080783353733,0.2597919216646266,0.241149671170532,0.2110495034843071
BCWDD,CB,116740,self_paced,0.7479284530544602,0.2520715469455397,0.1922581909867346,0.1505622926448541
NewThyroid2,F1,670488,self_paced,0.7856997144022848,0.2143002855977152,0.192798640681327,0.2366971078836195
BCWDD,CB,26226,curriculum,0.7670724041373793,0.2329275958626206,0.1778704623346299,0.1222073125568343
NewThyroid2,F1,116740,curriculum,0.7702978376172991,0.2297021623827009,0.2126048148659627,0.2022621625852165
NewThyroid2,F1,116740,static,0.7612199102407181,0.2387800897592819,0.217515119308378,0.2280040580792192
BCWDD,CB,26226,static,0.7465569461112063,0.2534430538887936,0.1688253346040235,0.1122512833697349
NewThyroid2,F1,116740,self_paced,0.7877396980824155,0.2122603019175846,0.2034386957501064,0.2226953512467378
BCWDD,CB,26226,self_paced,0.7987313560774901,0.2012686439225098,0.1261313187141603,0.124094502655319
NewThyroid2,F1,26226,curriculum,0.7967156262749899,0.2032843737250102,0.2007021021516243,0.2931730127213455
NewThyroid2,F1,26226,static,0.7796817625458997,0.2203182374541003,0.2179014371416129,0.2924471317796371
BCWDD,N1,670488,curriculum,0.7463283616206642,0.253671638379336,0.1571483045387365,0.157979098112525
NewThyroid2,F1,26226,self_paced,0.842717258261934,0.157282741738066,0.1052862830765151,0.2111233983433772
BCWDD,N1,670488,static,0.7768443911080634,0.2231556088919367,0.1594986263696072,0.1584087815243923
NewThyroid2,F2,670488,curriculum,0.7466340269277847,0.2533659730722154,0.2457626259947616,0.2742851344895721
NewThyroid2,F2,670488,static,0.6957364341085273,0.3042635658914728,0.2695012626695139,0.2670938964533457
BCWDD,N1,670488,self_paced,0.7819875421452654,0.2180124578547345,0.1884237567882305,0.1824071995906602
NewThyroid2,F2,670488,self_paced,0.7658098735210119,0.2341901264789881,0.2341441423670915,0.2653777548436642
BCWDD,N1,116740,curriculum,0.7671866963826504,0.2328133036173495,0.1464310712049697,0.157964973825136
NewThyroid2,F2,116740,curriculum,0.7375560995512037,0.2624439004487964,0.2142395192580414,0.1874169198255365
NewThyroid2,F2,116740,static,0.7421460628314974,0.2578539371685027,0.2220035144493863,0.1974445895387599
BCWDD,N1,116740,static,0.8202754443111034,0.1797245556888965,0.1131843843250937,0.1393171268866279
NewThyroid2,F2,116740,self_paced,0.8023255813953487,0.1976744186046511,0.1862482756082784,0.1901763596771787
BCWDD,N1,116740,self_paced,0.7386136350648609,0.2613863649351391,0.1781118593948326,0.1308379921045495
NewThyroid2,F2,26226,curriculum,0.8219094247246023,0.1780905752753978,0.1740758847153804,0.2957144482177885
NewThyroid2,F2,26226,static,0.7824357405140759,0.2175642594859241,0.2109850100892462,0.3084053376177869
BCWDD,N1,26226,curriculum,0.786387793588205,0.2136122064117949,0.1486634605808027,0.1588318985757048
NewThyroid2,F2,26226,self_paced,0.8588331293349653,0.1411668706650347,0.1350795800665112,0.2601876674823328
NewThyroid2,F3,670488,curriculum,0.7306201550387597,0.2693798449612403,0.2437768974808415,0.2641356334371808
BCWDD,N1,26226,static,0.7880450311446369,0.2119549688553632,0.1384437445825332,0.1579050653075142
NewThyroid2,F3,670488,static,0.7411260709914321,0.258873929008568,0.2411577387093329,0.2864319306108315
BCWDD,N1,26226,self_paced,0.7743871078347334,0.2256128921652666,0.1963268495850413,0.1374007505100355
NewThyroid2,F3,670488,self_paced,0.7877396980824154,0.2122603019175846,0.2262832989211113,0.2719179857067818
NewThyroid2,F3,116740,curriculum,0.7278661770705834,0.2721338229294165,0.2170308715150874,0.1990241750668403
BCWDD,N2,670488,curriculum,0.7518143893936796,0.2481856106063204,0.160827404153031,0.1349083055981327
NewThyroid2,F3,116740,static,0.7780497756017951,0.2219502243982048,0.1968731695401921,0.1989359944657755
BCWDD,N2,670488,static,0.7111263500771473,0.2888736499228527,0.2023645952665587,0.10876143492719
NewThyroid2,F3,116740,self_paced,0.8060995512035904,0.1939004487964096,0.1994766620696116,0.2118923766767668
NewThyroid2,F3,26226,curriculum,0.8250713994288046,0.1749286005711954,0.1717148916490607,0.2979107111098587
BCWDD,N2,670488,self_paced,0.7372421281216069,0.262757871878393,0.1589544851115001,0.1058648286251797
NewThyroid2,F3,26226,static,0.8187474500204,0.1812525499796002,0.1854935858510251,0.302212678268858
BCWDD,N2,116740,curriculum,0.7795302588719355,0.2204697411280644,0.1586600733488472,0.1434817643772177
NewThyroid2,F3,26226,self_paced,0.8745410036719705,0.1254589963280293,0.0943416914505694,0.2554758638873586
NewThyroid2,F4,670488,curriculum,0.7923296613627091,0.2076703386372908,0.1925749456286347,0.2205359185148072
BCWDD,N2,116740,static,0.7631864677981598,0.2368135322018401,0.1566597973322561,0.1210216805578884
NewThyroid2,F4,670488,static,0.7342921256629947,0.2657078743370052,0.2419838581584537,0.2687360314448924
