dataset,hardness_metric,seed,weighting_strategy,mean_similarity,mean_real_score,mean_synth_score,std_real_score,std_synth_score,score_difference,calculated_difference,difference_score
NewThyroid2,DCP,26226,static,0.9045080689927748,0.2726460846149061,0.2738334917588149,0.0,0.00084808902201,0.0011874071439088,0.001187407143908803,0.001187407143908803
BCWDD,DS,670488,self_paced,0.8166502451917779,0.2254174903051826,0.2027576645550477,0.0018249600297177,0.0007721575051046,0.0226598257501348,0.022659825750134893,0.022659825750134893
NewThyroid2,DCP,26226,self_paced,0.7464918414022134,0.2726460846149061,0.2773198342135624,0.0,0.0053736097565774,0.0046737495986562,0.004673749598656296,0.004673749598656296
NewThyroid2,TD_P,670488,curriculum,0.6519949234465204,0.2665847395040548,0.2987663190828057,0.0,0.0032930815650233,0.0321815795787508,0.032181579578750896,0.032181579578750896
BCWDD,DS,116740,curriculum,0.7925615835635323,0.2340645403285085,0.2133191342305875,0.0012323269940856,0.0021080594202455,0.020745406097921,0.020745406097921026,0.020745406097921026
NewThyroid2,TD_P,670488,static,0.6766698341419095,0.2665847395040548,0.2904482817786755,0.0,0.0016030174583635,0.0238635422746207,0.023863542274620675,0.023863542274620675
NewThyroid2,TD_P,670488,self_paced,0.8840969404356774,0.2665847395040548,0.2623196635524236,0.0,0.0054758679731228,0.0042650759516311,0.004265075951631225,0.004265075951631225
BCWDD,DS,116740,static,0.8138464352471497,0.2340645403285085,0.2249687862030327,0.0012323269940856,0.0018974062616206,0.0090957541254758,0.009095754125475808,0.009095754125475808
NewThyroid2,TD_P,116740,curriculum,0.6511601028316669,0.2695586592990631,0.3009052896202569,0.0,0.0051957007216631,0.0313466303211938,0.031346630321193836,0.031346630321193836
BCWDD,DS,116740,self_paced,0.7569723654724476,0.2340645403285085,0.2340375753986393,0.0012323269940856,0.0020165406835186,2.696492986917209e-05,2.696492986919985e-05,2.696492986919985e-05
NewThyroid2,TD_P,116740,static,0.6383124344606569,0.2695586592990631,0.303781063853699,0.0,0.0074635164179407,0.0342224045546359,0.03422240455463593,0.03422240455463593
NewThyroid2,TD_P,116740,self_paced,0.899504452058397,0.2695586592990631,0.2742460494537073,0.0,0.0042712682144174,0.0046873901546442,0.0046873901546442,0.0046873901546442
BCWDD,DS,26226,curriculum,0.780681438098105,0.2302716624611187,0.2158580622085554,0.0036947827007027,0.0007263183174316,0.0144136002525632,0.014413600252563274,0.014413600252563274
NewThyroid2,TD_P,26226,curriculum,0.8784406435614941,0.2726460846149061,0.2608991500416531,0.0,0.0023273683650715,0.0117469345732529,0.011746934573252987,0.011746934573252987
BCWDD,DS,26226,static,0.7485576527544621,0.2302716624611187,0.2073727924363267,0.0036947827007027,0.0012292770552245,0.022898870024792,0.02289887002479199,0.02289887002479199
NewThyroid2,TD_P,26226,static,0.8154493061598426,0.2726460846149061,0.2747898410223766,0.0,0.0056607406185317,0.0021437564074705,0.0021437564074704984,0.0021437564074704984
NewThyroid2,TD_P,26226,self_paced,0.8957827389337703,0.2726460846149061,0.2751823693395203,0.0,0.0080147839971115,0.0025362847246142,0.0025362847246142017,0.0025362847246142017
BCWDD,DS,26226,self_paced,0.755819961710035,0.2302716624611187,0.2128294631756788,0.0036947827007027,0.0014297377714863,0.0174421992854398,0.017442199285439886,0.017442199285439886
NewThyroid2,TD_U,670488,curriculum,0.6581916917671616,0.2665847395040548,0.2982514671616598,0.0,0.0096423310166069,0.0316667276576049,0.031666727657604976,0.031666727657604976
BCWDD,DCP,670488,curriculum,0.7421553091329904,0.2254174903051826,0.2272986408146009,0.0018249600297177,0.0024649943363841,0.0018811505094182,0.0018811505094183112,0.0018811505094183112
NewThyroid2,TD_U,670488,static,0.6177320749393883,0.2665847395040548,0.3064129067695524,0.0,0.0035113992388417,0.0398281672654976,0.039828167265497594,0.039828167265497594
NewThyroid2,TD_U,670488,self_paced,0.8601429511163612,0.2665847395040548,0.251056749045124,0.0,0.0010512424453952,0.0155279904589307,0.01552799045893083,0.01552799045893083
BCWDD,DCP,670488,static,0.7051369174639742,0.2254174903051826,0.2362870274255117,0.0018249600297177,0.0041027725485482,0.0108695371203291,0.010869537120329092,0.010869537120329092
NewThyroid2,TD_U,116740,curriculum,0.6485109640691944,0.2695586592990631,0.3086609344758,0.0,0.0007873516160756,0.0391022751767369,0.03910227517673692,0.03910227517673692
BCWDD,DCP,670488,self_paced,0.8382709071371409,0.2254174903051826,0.2154830332228825,0.0018249600297177,0.0003686413512229,0.0099344570823,0.009934457082300091,0.009934457082300091
NewThyroid2,TD_U,116740,static,0.7040655837411349,0.2695586592990631,0.2852099945562232,0.0,0.0022079622219607,0.0156513352571601,0.015651335257160115,0.015651335257160115
NewThyroid2,TD_U,116740,self_paced,0.8761272931787396,0.2695586592990631,0.2597840526483311,0.0,0.0006089112080655,0.0097746066507319,0.009774606650731987,0.009774606650731987
BCWDD,DCP,116740,curriculum,0.8141075810703616,0.2340645403285085,0.235200249955094,0.0012323269940856,0.0024976096333125,0.0011357096265855,0.0011357096265854905,0.0011357096265854905
NewThyroid2,TD_U,26226,curriculum,0.8717318500911905,0.2726460846149061,0.2591871244174639,0.0,0.0018721711650126,0.0134589601974421,0.013458960197442194,0.013458960197442194
BCWDD,DCP,116740,static,0.8060102461241697,0.2340645403285085,0.2321936743910878,0.0012323269940856,0.0032481751818748,0.0018708659374206,0.0018708659374207237,0.0018708659374207237
NewThyroid2,TD_U,26226,static,0.8938463815623766,0.2726460846149061,0.2668314796805981,0.0,0.0033889745567298,0.0058146049343079,0.005814604934307965,0.005814604934307965
NewThyroid2,TD_U,26226,self_paced,0.7467870275266173,0.2726460846149061,0.2806898595103113,0.0,0.0077363617473533,0.0080437748954052,0.008043774895405198,0.008043774895405198
BCWDD,DCP,116740,self_paced,0.7782276643306958,0.2340645403285085,0.2126047200062879,0.0012323269940856,0.0011015252358963,0.0214598203222206,0.021459820322220602,0.021459820322220602
NewThyroid2,CL,670488,curriculum,0.8691788413725168,0.2665847395040548,0.2543562225989795,0.0,0.0002665672730097,0.0122285169050752,0.012228516905075315,0.012228516905075315
BCWDD,DCP,26226,curriculum,0.829601291424111,0.2302716624611187,0.227767170078925,0.0036947827007027,0.0014397532408104,0.0025044923821937,0.0025044923821936904,0.0025044923821936904
NewThyroid2,CL,670488,static,0.8752471854247426,0.2665847395040548,0.257227954270192,0.0,0.0006771119580836,0.0093567852338627,0.009356785233862797,0.009356785233862797
NewThyroid2,CL,670488,self_paced,0.8803159816365193,0.2665847395040548,0.2576120689408021,0.0,0.0021951332859669,0.0089726705632527,0.008972670563252738,0.008972670563252738
BCWDD,DCP,26226,static,0.8413515900138844,0.2302716624611187,0.2266739094109847,0.0036947827007027,0.0015745363706343,0.0035977530501339,0.0035977530501339894,0.0035977530501339894
NewThyroid2,CL,116740,curriculum,0.901121556625896,0.2695586592990631,0.2672869382608629,3.204937810639273e-17,0.0014116166610343,0.0022717210382001,0.0022717210382001696,0.0022717210382001696
BCWDD,DCP,26226,self_paced,0.7481490997689203,0.2302716624611187,0.2015104235325758,0.0036947827007027,0.0012883171142575,0.0287612389285428,0.028761238928542876,0.028761238928542876
NewThyroid2,CL,116740,static,0.8815188419077683,0.2695586592990631,0.2587933568956149,0.0,0.0062301149970144,0.0107653024034481,0.010765302403448196,0.010765302403448196
NewThyroid2,CL,116740,self_paced,0.8124607139052895,0.2695586592990631,0.2674293014789952,0.0,0.00236177668803,0.0021293578200678,0.002129357820067901,0.002129357820067901
BCWDD,TD_P,670488,curriculum,0.7190365233007151,0.2254174903051826,0.2388544012314093,0.0018249600297177,0.0025154673151476,0.0134369109262266,0.013436910926226703,0.013436910926226703
NewThyroid2,CL,26226,curriculum,0.8960062766573794,0.2726460846149061,0.2673779240232241,0.0,0.0030806518681677,0.005268160591682,0.005268160591682003,0.005268160591682003
NewThyroid2,CL,26226,static,0.8978888719000082,0.2726460846149061,0.2683807714935673,0.0,0.0032253731274437,0.0042653131213387,0.004265313121338765,0.004265313121338765
BCWDD,TD_P,670488,static,0.7515169692215483,0.2254174903051826,0.2444361269490852,0.0018249600297177,0.0024533547700395,0.0190186366439025,0.019018636643902603,0.019018636643902603
NewThyroid2,CL,26226,self_paced,0.7310453903557007,0.2726460846149061,0.2820317287361431,0.0,0.0161525386591644,0.0093856441212369,0.009385644121236991,0.009385644121236991
BCWDD,TD_P,670488,self_paced,0.8154593244495228,0.2254174903051826,0.2083596500994586,0.0018249600297177,0.0029438947788055,0.0170578402057239,0.017057840205724012,0.017057840205724012
NewThyroid2,CLD,670488,curriculum,0.8618345788484412,0.2665847395040548,0.2516486985691463,0.0,0.0002075580205286,0.0149360409349084,0.014936040934908523,0.014936040934908523
NewThyroid2,CLD,670488,static,0.8727769726292586,0.2665847395040548,0.2565867865325956,0.0,0.0001623921055514,0.0099979529714592,0.009997952971459223,0.009997952971459223
BCWDD,TD_P,116740,curriculum,0.7859837018092215,0.2340645403285085,0.1946161354863213,0.0012323269940856,0.0052924929241147,0.0394484048421872,0.0394484048421872,0.0394484048421872
NewThyroid2,CLD,670488,self_paced,0.8637459810539027,0.2665847395040548,0.2783920788528438,0.0,0.0064005840957559,0.011807339348789,0.01180733934878897,0.01180733934878897
BCWDD,TD_P,116740,static,0.788088292827749,0.2340645403285085,0.2009998230498343,0.0012323269940856,0.0067499022790979,0.0330647172786742,0.033064717278674216,0.033064717278674216
NewThyroid2,CLD,116740,curriculum,0.8886674547777974,0.2695586592990631,0.2636002206407205,0.0,0.0037796505135789,0.0059584386583426,0.005958438658342613,0.005958438658342613
NewThyroid2,CLD,116740,static,0.8861538995179999,0.2695586592990631,0.2621618456751516,0.0,0.002906612595175,0.0073968136239114,0.00739681362391148,0.00739681362391148
BCWDD,TD_P,116740,self_paced,0.792183223843614,0.2340645403285085,0.2321834974685617,0.0012323269940856,0.0013158284595875,0.0018810428599468,0.0018810428599468076,0.0018810428599468076
NewThyroid2,CLD,116740,self_paced,0.8814650477999499,0.2695586592990631,0.2655461740191804,0.0,0.0017734959209238,0.0040124852798826,0.004012485279882683,0.004012485279882683
BCWDD,TD_P,26226,curriculum,0.7684839108315444,0.2302716624611187,0.26298644015817,0.0036947827007027,0.0013668186791935,0.0327147776970513,0.032714777697051334,0.032714777697051334
NewThyroid2,CLD,26226,curriculum,0.8131116006668715,0.2726460846149061,0.2713632414345706,0.0,0.0056213316437582,0.0012828431803355,0.0012828431803355023,0.0012828431803355023
NewThyroid2,CLD,26226,static,0.876393640454145,0.2726460846149061,0.2604695479359183,0.0,0.001010075390434,0.0121765366789877,0.01217653667898777,0.01217653667898777
BCWDD,TD_P,26226,static,0.7669632427626746,0.2302716624611187,0.2599560751737471,0.0036947827007027,0.0004642582150591,0.0296844127126283,0.029684412712628394,0.029684412712628394
NewThyroid2,CLD,26226,self_paced,0.7428098087796348,0.2726460846149061,0.2781967448669707,0.0,0.002211349779188,0.0055506602520646,0.005550660252064632,0.005550660252064632
BCWDD,TD_P,26226,self_paced,0.8061068628161191,0.2302716624611187,0.2312662178057142,0.0036947827007027,0.0012917318189463,0.0009945553445955,0.0009945553445955269,0.0009945553445955269
NewThyroid2,MV,670488,curriculum,0.8566091805095155,0.2665847395040548,0.24896888821449,0.0,0.0009692665019606,0.0176158512895647,0.017615851289564805,0.017615851289564805
NewThyroid2,MV,670488,static,0.8660368219883193,0.2665847395040548,0.2530642930246564,0.0,0.0003330646114491,0.0135204464793983,0.01352044647939843,0.01352044647939843
BCWDD,TD_U,670488,curriculum,0.6585642591144775,0.2254174903051826,0.288845745420439,0.0018249600297177,0.0025738923974428,0.0634282551152564,0.0634282551152564,0.0634282551152564
NewThyroid2,MV,670488,self_paced,0.7392130517397859,0.2665847395040548,0.2841515274977079,0.0,0.0050011211891061,0.0175667879936531,0.017566787993653077,0.017566787993653077
BCWDD,TD_U,670488,static,0.6562045938911876,0.2254174903051826,0.2922427270718948,0.0018249600297177,0.0028325971807256,0.0668252367667122,0.0668252367667122,0.0668252367667122
NewThyroid2,MV,116740,curriculum,0.8783946947757674,0.2695586592990631,0.2593855176470724,0.0,9.352983548634771e-05,0.0101731416519906,0.01017314165199068,0.01017314165199068
NewThyroid2,MV,116740,static,0.8841911483220793,0.2695586592990631,0.2629348724589791,3.204937810639273e-17,0.0045647714351759,0.0066237868400839,0.006623786840083967,0.006623786840083967
BCWDD,TD_U,670488,self_paced,0.8398328578820778,0.2254174903051826,0.2218635410203849,0.0018249600297177,0.0008674920236981,0.0035539492847976,0.003553949284797686,0.003553949284797686
NewThyroid2,MV,116740,self_paced,0.6793702341059382,0.2695586592990631,0.2872763431244289,0.0,0.0041248960797733,0.0177176838253658,0.017717683825365815,0.017717683825365815
BCWDD,TD_U,116740,curriculum,0.6461993566962029,0.2340645403285085,0.3142509537601843,0.0012323269940856,0.0014490490331879,0.0801864134316757,0.08018641343167579,0.08018641343167579
NewThyroid2,MV,26226,curriculum,0.8746074788097563,0.2726460846149061,0.2593639115517928,0.0,0.0010506113664161,0.0132821730631133,0.0132821730631133,0.0132821730631133
NewThyroid2,MV,26226,static,0.9076552310800406,0.2726460846149061,0.2708713926586968,0.0,0.0022787608837589,0.0017746919562092,0.0017746919562092733,0.0017746919562092733
BCWDD,TD_U,116740,static,0.6269008618869504,0.2340645403285085,0.3015728613643919,0.0012323269940856,0.0023613998657724,0.0675083210358833,0.06750832103588336,0.06750832103588336
NewThyroid2,MV,26226,self_paced,0.8890203467094018,0.2726460846149061,0.2813363360209696,0.0,0.0053243599986523,0.0086902514060634,0.008690251406063498,0.008690251406063498
NewThyroid2,CB,670488,curriculum,0.8612799501325472,0.2665847395040548,0.2500312930909936,0.0,0.0005021230960034,0.0165534464130611,0.016553446413061224,0.016553446413061224
BCWDD,TD_U,116740,self_paced,0.8134898636526373,0.2340645403285085,0.2249361363657002,0.0012323269940856,0.0027259988874874,0.0091284039628083,0.009128403962808312,0.009128403962808312
NewThyroid2,CB,670488,static,0.8744248788200225,0.2665847395040548,0.2558312022903833,0.0,0.0009316865016721,0.0107535372136715,0.010753537213671505,0.010753537213671505
BCWDD,TD_U,26226,curriculum,0.6250721913391192,0.2302716624611187,0.3198965448436354,0.0036947827007027,0.0008974562187219,0.0896248823825167,0.0896248823825167,0.0896248823825167
NewThyroid2,CB,670488,self_paced,0.859544616282492,0.2665847395040548,0.2513487282655653,0.0,0.0008410934469354,0.0152360112384895,0.0152360112384895,0.0152360112384895
NewThyroid2,CB,116740,curriculum,0.9027291000248112,0.2695586592990631,0.2671394810876557,0.0,0.0003163729523153,0.0024191782114074,0.0024191782114074134,0.0024191782114074134
BCWDD,TD_U,26226,static,0.5901924760620474,0.2302716624611187,0.311380230869922,0.0036947827007027,0.004822212870347,0.0811085684088032,0.08110856840880332,0.08110856840880332
NewThyroid2,CB,116740,static,0.8718098180875468,0.2695586592990631,0.2572547006591469,0.0,0.0005411707006008,0.0123039586399161,0.01230395863991618,0.01230395863991618
BCWDD,TD_U,26226,self_paced,0.7768353108053296,0.2302716624611187,0.2191229812851844,0.0036947827007027,0.0010214169797121,0.0111486811759343,0.011148681175934289,0.011148681175934289
NewThyroid2,CB,116740,self_paced,0.6907178293278032,0.2695586592990631,0.2936331729970907,0.0,0.0067900095836788,0.0240745136980276,0.0240745136980276,0.0240745136980276
NewThyroid2,CB,26226,curriculum,0.9077831061844374,0.2726460846149061,0.2700123008842924,0.0,0.0006948797183803,0.0026337837306136,0.0026337837306136813,0.0026337837306136813
BCWDD,CL,670488,curriculum,0.869772646863807,0.2254174903051826,0.2111168897444546,0.0018249600297177,0.0047221894703565,0.0143006005607279,0.014300600560727988,0.014300600560727988
NewThyroid2,CB,26226,static,0.889614574792143,0.2726460846149061,0.2654851393307449,0.0,0.0037548563102852,0.0071609452841611,0.007160945284161169,0.007160945284161169
BCWDD,CL,670488,static,0.8613989460138147,0.2254174903051826,0.2185550730630927,0.0018249600297177,0.0034397169950354,0.0068624172420899,0.006862417242089913,0.006862417242089913
NewThyroid2,CB,26226,self_paced,0.8866806834808294,0.2726460846149061,0.2773643000824602,0.0,0.001780508148355,0.0047182154675541,0.004718215467554132,0.004718215467554132
NewThyroid2,N1,670488,curriculum,0.6342584237218994,0.2665847395040548,0.3047114909120523,0.0,0.0087545600347577,0.0381267514079975,0.03812675140799748,0.03812675140799748
BCWDD,CL,670488,self_paced,0.8047125391454816,0.2254174903051826,0.1969198883645786,0.0018249600297177,0.0011236336660508,0.0284976019406039,0.028497601940603995,0.028497601940603995
NewThyroid2,N1,670488,static,0.7033280242218158,0.2665847395040548,0.2789231264472429,0.0,0.0008968761677591,0.012338386943188,0.012338386943188062,0.012338386943188062
BCWDD,CL,116740,curriculum,0.8109912176645276,0.2340645403285085,0.216228308344456,0.0012323269940856,0.002413349932859,0.0178362319840524,0.017836231984052514,0.017836231984052514
NewThyroid2,N1,670488,self_paced,0.8120599216846481,0.2665847395040548,0.2677006084375368,0.0,0.0096046525127127,0.0011158689334819,0.0011158689334819782,0.0011158689334819782
NewThyroid2,N1,116740,curriculum,0.6248458422551119,0.2695586592990631,0.311208489304778,0.0,0.0008957397867121,0.0416498300057149,0.04164983000571493,0.04164983000571493
BCWDD,CL,116740,static,0.8183440251808498,0.2340645403285085,0.216745748675407,0.0012323269940856,0.0019328698586679,0.0173187916531014,0.017318791653101517,0.017318791653101517
NewThyroid2,N1,116740,static,0.6671032069565778,0.2695586592990631,0.2974632264430645,0.0,0.0026431580577482,0.0279045671440014,0.027904567144001413,0.027904567144001413
BCWDD,CL,116740,self_paced,0.7676990134999996,0.2340645403285085,0.2014088329886509,0.0012323269940856,0.0013557280110112,0.0326557073398575,0.03265570733985762,0.03265570733985762
NewThyroid2,N1,116740,self_paced,0.8898328280269431,0.2695586592990631,0.2665301181999045,0.0,0.0032234738005463,0.0030285410991585,0.003028541099158566,0.003028541099158566
NewThyroid2,N1,26226,curriculum,0.6179071609242345,0.2726460846149061,0.3144154255580874,0.0,0.0083768914948957,0.0417693409431813,0.0417693409431813,0.0417693409431813
BCWDD,CL,26226,curriculum,0.8053230776699363,0.2302716624611187,0.2181489714018406,0.0036947827007027,0.0011554081230034,0.012122691059278,0.012122691059278073,0.012122691059278073
NewThyroid2,N1,26226,static,0.6677426557293463,0.2726460846149061,0.2962322433303667,0.0,0.003701909965352,0.0235861587154606,0.023586158715460603,0.023586158715460603
BCWDD,CL,26226,static,0.7956805226827535,0.2302716624611187,0.2170115044921874,0.0036947827007027,0.0009017128469165,0.0132601579689312,0.013260157968931291,0.013260157968931291
NewThyroid2,N1,26226,self_paced,0.8453121777262786,0.2726460846149061,0.2747559948635102,0.0,0.0037946438429187,0.0021099102486041,0.00210991024860413,0.00210991024860413
NewThyroid2,N2,670488,curriculum,0.8412087604249465,0.2665847395040548,0.2701174511512814,0.0,0.0014833803605,0.0035327116472266,0.003532711647226572,0.003532711647226572
BCWDD,CL,26226,self_paced,0.7351767565353278,0.2302716624611187,0.1952505513186107,0.0036947827007027,0.000311070230834,0.035021111142508,0.035021111142508,0.035021111142508
NewThyroid2,N2,670488,static,0.8768637425696791,0.2665847395040548,0.2700410729373039,0.0,0.0029961328130706,0.003456333433249,0.0034563334332490814,0.0034563334332490814
BCWDD,CLD,670488,curriculum,0.8629552495949361,0.2254174903051826,0.2160398679533487,0.0018249600297177,0.0019329707295058,0.0093776223518338,0.009377622351833897,0.009377622351833897
NewThyroid2,N2,670488,self_paced,0.8651797132672114,0.2665847395040548,0.2538805492689195,0.0,0.0025427456407728,0.0127041902351353,0.012704190235135304,0.012704190235135304
NewThyroid2,N2,116740,curriculum,0.8240936305896479,0.2695586592990631,0.2777355357630991,0.0,0.0026095629629895,0.008176876464036,0.008176876464036031,0.008176876464036031
